trip_id,stop_id,stop_sequence,departure_time,arrival_time,timepoint
CBUS_202305023,T2,3,06:36:00,06:36:00,0
CBUS_202305024,T3,1,06:27:00,06:27:00,0
CBUS_202305024,T1,2,06:35:00,06:35:00,0
CBUS_202305024,T2,3,06:40:00,06:40:00,0
CBUS_202305025,T3,1,06:31:00,06:31:00,0
CBUS_202305025,T1,2,06:39:00,06:39:00,0
CBUS_202305025,T2,3,06:44:00,06:44:00,0
CBUS_202305026,T3,1,06:35:00,06:35:00,0
CBUS_202305026,T1,2,06:43:00,06:43:00,0
CBUS_202305026,T2,3,06:48:00,06:48:00,0
CBUS_202305027,T3,1,06:39:00,06:39:00,0
CBUS_202305027,T1,2,06:47:00,06:47:00,0
CBUS_202305027,T2,3,06:52:00,06:52:00,0
CBUS_202305028,T3,1,06:43:00,06:43:00,0
CBUS_202305028,T1,2,06:51:00,06:51:00,0
CBUS_202305028,T2,3,06:56:00,06:56:00,0
CBUS_202305029,T3,1,06:47:00,06:47:00,0
CBUS_202305029,T1,2,06:55:00,06:55:00,0
CBUS_202305029,T2,3,07:00:00,07:00:00,0
CBUS_202305030,T3,1,06:51:00,06:51:00,0
CBUS_202305030,T1,2,06:59:00,06:59:00,0
CBUS_202305030,T2,3,07:04:00,07:04:00,0
CBUS_202305031,T3,1,06:55:00,06:55:00,0
CBUS_202305031,T1,2,07:03:00,07:03:00,0
CBUS_202305031,T2,3,07:08:00,07:08:00,0
CBUS_202305032,T3,1,06:59:00,06:59:00,0
CBUS_202305032,T1,2,07:07:00,07:07:00,0
CBUS_202305032,T2,3,07:12:00,07:12:00,0
CBUS_202305033,T3,1,07:03:00,07:03:00,0
CBUS_202305033,T1,2,07:11:00,07:11:00,0
CBUS_202305033,T2,3,07:16:00,07:16:00,0
CBUS_202305034,T3,1,07:07:00,07:07:00,0
CBUS_202305034,T1,2,07:15:00,07:15:00,0
CBUS_202305034,T2,3,07:20:00,07:20:00,0
CBUS_202305035,T3,1,07:11:00,07:11:00,0
CBUS_202305035,T1,2,07:19:00,07:19:00,0
CBUS_202305035,T2,3,07:24:00,07:24:00,0
CBUS_202305036,T3,1,07:15:00,07:15:00,0
CBUS_202305036,T1,2,07:23:00,07:23:00,0
CBUS_202305036,T2,3,07:28:00,07:28:00,0
CBUS_202305037,T3,1,07:19:00,07:19:00,0
CBUS_202305037,T1,2,07:27:00,07:27:00,0
CBUS_202305037,T2,3,07:32:00,07:32:00,0
CBUS_202305038,T3,1,07:23:00,07:23:00,0
CBUS_202305038,T1,2,07:31:00,07:31:00,0
CBUS_202305038,T2,3,07:36:00,07:36:00,0
CBUS_202305039,T3,1,07:27:00,07:27:00,0
CBUS_202305039,T1,2,07:35:00,07:35:00,0
CBUS_202305039,T2,3,07:40:00,07:40:00,0
CBUS_202305040,T3,1,07:31:00,07:31:00,0
CBUS_202305040,T1,2,07:39:00,07:39:00,0
CBUS_202305040,T2,3,07:44:00,07:44:00,0
CBUS_202305041,T3,1,07:35:00,07:35:00,0
CBUS_202305041,T1,2,07:43:00,07:43:00,0
CBUS_202305041,T2,3,07:48:00,07:48:00,0
CBUS_202305042,T3,1,07:39:00,07:39:00,0
CBUS_202305042,T1,2,07:47:00,07:47:00,0
CBUS_202305042,T2,3,07:52:00,07:52:00,0
CBUS_202305043,T3,1,07:43:00,07:43:00,0
CBUS_202305043,T1,2,07:51:00,07:51:00,0
CBUS_202305043,T2,3,07:56:00,07:56:00,0
CBUS_202305044,T3,1,07:47:00,07:47:00,0
CBUS_202305044,T1,2,07:55:00,07:55:00,0
CBUS_202305044,T2,3,08:00:00,08:00:00,0
CBUS_202305045,T3,1,07:51:00,07:51:00,0
CBUS_202305045,T1,2,07:59:00,07:59:00,0
CBUS_202305045,T2,3,08:04:00,08:04:00,0
CBUS_202305046,T3,1,07:55:00,07:55:00,0
CBUS_202305046,T1,2,08:03:00,08:03:00,0
CBUS_202305046,T2,3,08:08:00,08:08:00,0
CBUS_202305047,T3,1,07:59:00,07:59:00,0
CBUS_202305047,T1,2,08:07:00,08:07:00,0
CBUS_202305047,T2,3,08:12:00,08:12:00,0
CBUS_202305048,T3,1,08:03:00,08:03:00,0
CBUS_202305048,T1,2,08:11:00,08:11:00,0
CBUS_202305048,T2,3,08:16:00,08:16:00,0
CBUS_202305049,T3,1,08:07:00,08:07:00,0
CBUS_202305049,T1,2,08:15:00,08:15:00,0
CBUS_202305049,T2,3,08:20:00,08:20:00,0
CBUS_202305050,T3,1,08:11:00,08:11:00,0
CBUS_202305050,T1,2,08:19:00,08:19:00,0
CBUS_202305050,T2,3,08:24:00,08:24:00,0
CBUS_202305051,T3,1,08:15:00,08:15:00,0
CBUS_202305051,T1,2,08:23:00,08:23:00,0
CBUS_202305051,T2,3,08:28:00,08:28:00,0
CBUS_202305052,T3,1,08:19:00,08:19:00,0
CBUS_202305052,T1,2,08:27:00,08:27:00,0
CBUS_202305052,T2,3,08:32:00,08:32:00,0
CBUS_202305053,T3,1,08:23:00,08:23:00,0
CBUS_202305053,T1,2,08:31:00,08:31:00,0
CBUS_202305053,T2,3,08:36:00,08:36:00,0
CBUS_202305054,T3,1,08:27:00,08:27:00,0
CBUS_202305054,T1,2,08:35:00,08:35:00,0
CBUS_202305054,T2,3,08:40:00,08:40:00,0
CBUS_202305055,T3,1,08:31:00,08:31:00,0
CBUS_202305055,T1,2,08:39:00,08:39:00,0
CBUS_202305055,T2,3,08:44:00,08:44:00,0
CBUS_202305056,T3,1,08:35:00,08:35:00,0
CBUS_202305056,T1,2,08:43:00,08:43:00,0
CBUS_202305056,T2,3,08:48:00,08:48:00,0
CBUS_202305057,T3,1,08:39:00,08:39:00,0
CBUS_202305057,T1,2,08:47:00,08:47:00,0
CBUS_202305057,T2,3,08:52:00,08:52:00,0
CBUS_202305058,T3,1,08:43:00,08:43:00,0
CBUS_202305058,T1,2,08:51:00,08:51:00,0
CBUS_202305058,T2,3,08:56:00,08:56:00,0
CBUS_202305059,T3,1,08:47:00,08:47:00,0
CBUS_202305059,T1,2,08:55:00,08:55:00,0
CBUS_202305059,T2,3,09:00:00,09:00:00,0
CBUS_202305060,T3,1,08:51:00,08:51:00,0
CBUS_202305060,T1,2,08:59:00,08:59:00,0
CBUS_202305060,T2,3,09:04:00,09:04:00,0
CBUS_202305061,T3,1,08:55:00,08:55:00,0
CBUS_202305061,T1,2,09:03:00,09:03:00,0
CBUS_202305061,T2,3,09:08:00,09:08:00,0
CBUS_202305062,T3,1,08:59:00,08:59:00,0
CBUS_202305062,T1,2,09:07:00,09:07:00,0
CBUS_202305062,T2,3,09:12:00,09:12:00,0
CBUS_202305063,T3,1,09:03:00,09:03:00,0
CBUS_202305063,T1,2,09:11:00,09:11:00,0
CBUS_202305063,T2,3,09:16:00,09:16:00,0
CBUS_202305064,T3,1,09:07:00,09:07:00,0
CBUS_202305064,T1,2,09:15:00,09:15:00,0
CBUS_202305064,T2,3,09:20:00,09:20:00,0
CBUS_202305065,T3,1,09:11:00,09:11:00,0
CBUS_202305065,T1,2,09:19:00,09:19:00,0
CBUS_202305065,T2,3,09:24:00,09:24:00,0
CBUS_202305066,T3,1,09:15:00,09:15:00,0
CBUS_202305066,T1,2,09:23:00,09:23:00,0
CBUS_202305066,T2,3,09:28:00,09:28:00,0
CBUS_202305067,T3,1,09:19:00,09:19:00,0
CBUS_202305067,T1,2,09:27:00,09:27:00,0
CBUS_202305067,T2,3,09:32:00,09:32:00,0
CBUS_202305068,T3,1,09:23:00,09:23:00,0
CBUS_202305068,T1,2,09:31:00,09:31:00,0
CBUS_202305068,T2,3,09:36:00,09:36:00,0
CBUS_202305069,T3,1,09:27:00,09:27:00,0
CBUS_202305069,T1,2,09:35:00,09:35:00,0
CBUS_202305069,T2,3,09:40:00,09:40:00,0
CBUS_202305070,T3,1,09:31:00,09:31:00,0
CBUS_202305070,T1,2,09:39:00,09:39:00,0
CBUS_202305070,T2,3,09:44:00,09:44:00,0
CBUS_202305071,T3,1,09:35:00,09:35:00,0
CBUS_202305071,T1,2,09:43:00,09:43:00,0
CBUS_202305071,T2,3,09:48:00,09:48:00,0
CBUS_202305072,T3,1,09:39:00,09:39:00,0
CBUS_202305072,T1,2,09:47:00,09:47:00,0
CBUS_202305072,T2,3,09:52:00,09:52:00,0
CBUS_202305073,T3,1,09:43:00,09:43:00,0
CBUS_202305073,T1,2,09:51:00,09:51:00,0
CBUS_202305073,T2,3,09:56:00,09:56:00,0
CBUS_202305074,T3,1,09:47:00,09:47:00,0
CBUS_202305074,T1,2,09:55:00,09:55:00,0
CBUS_202305074,T2,3,10:00:00,10:00:00,0
CBUS_202305075,T3,1,09:51:00,09:51:00,0
CBUS_202305075,T1,2,09:59:00,09:59:00,0
CBUS_202305075,T2,3,10:04:00,10:04:00,0
CBUS_202305076,T3,1,09:55:00,09:55:00,0
CBUS_202305076,T1,2,10:03:00,10:03:00,0
CBUS_202305076,T2,3,10:08:00,10:08:00,0
CBUS_202305077,T3,1,09:59:00,09:59:00,0
CBUS_202305077,T1,2,10:07:00,10:07:00,0
CBUS_202305077,T2,3,10:12:00,10:12:00,0
CBUS_202305078,T3,1,10:03:00,10:03:00,0
CBUS_202305078,T1,2,10:11:00,10:11:00,0
CBUS_202305078,T2,3,10:16:00,10:16:00,0
CBUS_202305079,T3,1,10:07:00,10:07:00,0
CBUS_202305079,T1,2,10:15:00,10:15:00,0
CBUS_202305079,T2,3,10:20:00,10:20:00,0
CBUS_202305080,T3,1,10:11:00,10:11:00,0
CBUS_202305080,T1,2,10:19:00,10:19:00,0
CBUS_202305080,T2,3,10:24:00,10:24:00,0
CBUS_202305081,T3,1,10:15:00,10:15:00,0
CBUS_202305081,T1,2,10:23:00,10:23:00,0
CBUS_202305081,T2,3,10:28:00,10:28:00,0
CBUS_202305082,T3,1,10:19:00,10:19:00,0
CBUS_202305082,T1,2,10:27:00,10:27:00,0
CBUS_202305082,T2,3,10:32:00,10:32:00,0
CBUS_202305083,T3,1,10:23:00,10:23:00,0
CBUS_202305083,T1,2,10:31:00,10:31:00,0
CBUS_202305083,T2,3,10:36:00,10:36:00,0
CBUS_202305084,T3,1,10:27:00,10:27:00,0
CBUS_202305084,T1,2,10:35:00,10:35:00,0
CBUS_202305084,T2,3,10:40:00,10:40:00,0
CBUS_202305085,T3,1,10:31:00,10:31:00,0
CBUS_202305085,T1,2,10:39:00,10:39:00,0
CBUS_202305085,T2,3,10:44:00,10:44:00,0
CBUS_202305086,T3,1,10:35:00,10:35:00,0
CBUS_202305086,T1,2,10:43:00,10:43:00,0
CBUS_202305086,T2,3,10:48:00,10:48:00,0
CBUS_202305087,T3,1,10:39:00,10:39:00,0
CBUS_202305087,T1,2,10:47:00,10:47:00,0
CBUS_202305087,T2,3,10:52:00,10:52:00,0
CBUS_202305088,T3,1,10:43:00,10:43:00,0
CBUS_202305088,T1,2,10:51:00,10:51:00,0
CBUS_202305088,T2,3,10:56:00,10:56:00,0
CBUS_202305089,T3,1,10:47:00,10:47:00,0
CBUS_202305089,T1,2,10:55:00,10:55:00,0
CBUS_202305089,T2,3,11:00:00,11:00:00,0
CBUS_202305090,T3,1,10:51:00,10:51:00,0
CBUS_202305090,T1,2,10:59:00,10:59:00,0
CBUS_202305090,T2,3,11:04:00,11:04:00,0
CBUS_202305091,T3,1,10:55:00,10:55:00,0
CBUS_202305091,T1,2,11:03:00,11:03:00,0
CBUS_202305091,T2,3,11:08:00,11:08:00,0
CBUS_202305092,T3,1,10:59:00,10:59:00,0
CBUS_202305092,T1,2,11:07:00,11:07:00,0
CBUS_202305092,T2,3,11:12:00,11:12:00,0
CBUS_202305093,T3,1,11:03:00,11:03:00,0
CBUS_202305093,T1,2,11:11:00,11:11:00,0
CBUS_202305093,T2,3,11:16:00,11:16:00,0
CBUS_202305094,T3,1,11:07:00,11:07:00,0
CBUS_202305094,T1,2,11:15:00,11:15:00,0
CBUS_202305094,T2,3,11:20:00,11:20:00,0
CBUS_202305095,T3,1,11:11:00,11:11:00,0
CBUS_202305095,T1,2,11:19:00,11:19:00,0
CBUS_202305095,T2,3,11:24:00,11:24:00,0
CBUS_202305096,T3,1,11:15:00,11:15:00,0
CBUS_202305096,T1,2,11:23:00,11:23:00,0
CBUS_202305096,T2,3,11:28:00,11:28:00,0
CBUS_202305097,T3,1,11:19:00,11:19:00,0
CBUS_202305097,T1,2,11:27:00,11:27:00,0
CBUS_202305097,T2,3,11:32:00,11:32:00,0
CBUS_202305098,T3,1,11:23:00,11:23:00,0
CBUS_202305098,T1,2,11:31:00,11:31:00,0
CBUS_202305098,T2,3,11:36:00,11:36:00,0
CBUS_202305099,T3,1,11:27:00,11:27:00,0
CBUS_202305099,T1,2,11:35:00,11:35:00,0
CBUS_202305099,T2,3,11:40:00,11:40:00,0
CBUS_202305100,T3,1,11:31:00,11:31:00,0
CBUS_202305100,T1,2,11:39:00,11:39:00,0
CBUS_202305100,T2,3,11:44:00,11:44:00,0
CBUS_202305101,T3,1,11:35:00,11:35:00,0
CBUS_202305101,T1,2,11:43:00,11:43:00,0
CBUS_202305101,T2,3,11:48:00,11:48:00,0
CBUS_202305102,T3,1,11:39:00,11:39:00,0
CBUS_202305102,T1,2,11:47:00,11:47:00,0
CBUS_202305102,T2,3,11:52:00,11:52:00,0
CBUS_202305103,T3,1,11:43:00,11:43:00,0
CBUS_202305103,T1,2,11:51:00,11:51:00,0
CBUS_202305103,T2,3,11:56:00,11:56:00,0
CBUS_202305104,T3,1,11:47:00,11:47:00,0
CBUS_202305104,T1,2,11:55:00,11:55:00,0
CBUS_202305104,T2,3,12:00:00,12:00:00,0
CBUS_202305105,T3,1,11:51:00,11:51:00,0
CBUS_202305105,T1,2,11:59:00,11:59:00,0
CBUS_202305105,T2,3,12:04:00,12:04:00,0
CBUS_202305106,T3,1,11:55:00,11:55:00,0
CBUS_202305106,T1,2,12:03:00,12:03:00,0
CBUS_202305106,T2,3,12:08:00,12:08:00,0
CBUS_202305107,T3,1,11:59:00,11:59:00,0
CBUS_202305107,T1,2,12:07:00,12:07:00,0
CBUS_202305107,T2,3,12:12:00,12:12:00,0
CBUS_202305108,T3,1,12:03:00,12:03:00,0
CBUS_202305108,T1,2,12:11:00,12:11:00,0
CBUS_202305108,T2,3,12:16:00,12:16:00,0
CBUS_202305109,T3,1,12:07:00,12:07:00,0
CBUS_202305109,T1,2,12:15:00,12:15:00,0
CBUS_202305109,T2,3,12:20:00,12:20:00,0
CBUS_202305110,T3,1,12:11:00,12:11:00,0
CBUS_202305110,T1,2,12:19:00,12:19:00,0
CBUS_202305110,T2,3,12:24:00,12:24:00,0
CBUS_202305111,T3,1,12:15:00,12:15:00,0
CBUS_202305111,T1,2,12:23:00,12:23:00,0
CBUS_202305111,T2,3,12:28:00,12:28:00,0
CBUS_202305112,T3,1,12:19:00,12:19:00,0
CBUS_202305112,T1,2,12:27:00,12:27:00,0
CBUS_202305112,T2,3,12:32:00,12:32:00,0
CBUS_202305113,T3,1,12:23:00,12:23:00,0
CBUS_202305113,T1,2,12:31:00,12:31:00,0
CBUS_202305113,T2,3,12:36:00,12:36:00,0
CBUS_202305114,T3,1,12:27:00,12:27:00,0
CBUS_202305114,T1,2,12:35:00,12:35:00,0
CBUS_202305114,T2,3,12:40:00,12:40:00,0
CBUS_202305115,T3,1,12:31:00,12:31:00,0
CBUS_202305115,T1,2,12:39:00,12:39:00,0
CBUS_202305115,T2,3,12:44:00,12:44:00,0
CBUS_202305116,T3,1,12:35:00,12:35:00,0
CBUS_202305116,T1,2,12:43:00,12:43:00,0
CBUS_202305116,T2,3,12:48:00,12:48:00,0
CBUS_202305117,T3,1,12:39:00,12:39:00,0
CBUS_202305117,T1,2,12:47:00,12:47:00,0
CBUS_202305117,T2,3,12:52:00,12:52:00,0
CBUS_202305118,T3,1,12:43:00,12:43:00,0
CBUS_202305118,T1,2,12:51:00,12:51:00,0
CBUS_202305118,T2,3,12:56:00,12:56:00,0
CBUS_202305119,T3,1,12:47:00,12:47:00,0
CBUS_202305119,T1,2,12:55:00,12:55:00,0
CBUS_202305119,T2,3,13:00:00,13:00:00,0
CBUS_202305120,T3,1,12:51:00,12:51:00,0
CBUS_202305120,T1,2,12:59:00,12:59:00,0
CBUS_202305120,T2,3,13:04:00,13:04:00,0
CBUS_202305121,T3,1,12:55:00,12:55:00,0
CBUS_202305121,T1,2,13:03:00,13:03:00,0
CBUS_202305121,T2,3,13:08:00,13:08:00,0
CBUS_202305122,T3,1,12:59:00,12:59:00,0
CBUS_202305122,T1,2,13:07:00,13:07:00,0
CBUS_202305122,T2,3,13:12:00,13:12:00,0
CBUS_202305123,T3,1,13:03:00,13:03:00,0
CBUS_202305123,T1,2,13:11:00,13:11:00,0
CBUS_202305123,T2,3,13:16:00,13:16:00,0
CBUS_202305124,T3,1,13:07:00,13:07:00,0
CBUS_202305124,T1,2,13:15:00,13:15:00,0
CBUS_202305124,T2,3,13:20:00,13:20:00,0
CBUS_202305125,T3,1,13:11:00,13:11:00,0
CBUS_202305125,T1,2,13:19:00,13:19:00,0
CBUS_202305125,T2,3,13:24:00,13:24:00,0
CBUS_202305126,T3,1,13:15:00,13:15:00,0
CBUS_202305126,T1,2,13:23:00,13:23:00,0
CBUS_202305126,T2,3,13:28:00,13:28:00,0
CBUS_202305127,T3,1,13:19:00,13:19:00,0
CBUS_202305127,T1,2,13:27:00,13:27:00,0
CBUS_202305127,T2,3,13:32:00,13:32:00,0
CBUS_202305128,T3,1,13:23:00,13:23:00,0
CBUS_202305128,T1,2,13:31:00,13:31:00,0
CBUS_202305128,T2,3,13:36:00,13:36:00,0
CBUS_202305129,T3,1,13:27:00,13:27:00,0
CBUS_202305129,T1,2,13:35:00,13:35:00,0
CBUS_202305129,T2,3,13:40:00,13:40:00,0
CBUS_202305130,T3,1,13:31:00,13:31:00,0
CBUS_202305130,T1,2,13:39:00,13:39:00,0
CBUS_202305130,T2,3,13:44:00,13:44:00,0
CBUS_202305131,T3,1,13:35:00,13:35:00,0
CBUS_202305131,T1,2,13:43:00,13:43:00,0
CBUS_202305131,T2,3,13:48:00,13:48:00,0
CBUS_202305132,T3,1,13:39:00,13:39:00,0
CBUS_202305132,T1,2,13:47:00,13:47:00,0
CBUS_202305132,T2,3,13:52:00,13:52:00,0
CBUS_202305133,T3,1,13:43:00,13:43:00,0
CBUS_202305133,T1,2,13:51:00,13:51:00,0
CBUS_202305133,T2,3,13:56:00,13:56:00,0
CBUS_202305134,T3,1,13:47:00,13:47:00,0
CBUS_202305134,T1,2,13:55:00,13:55:00,0
CBUS_202305134,T2,3,14:00:00,14:00:00,0
CBUS_202305135,T3,1,13:51:00,13:51:00,0
CBUS_202305135,T1,2,13:59:00,13:59:00,0
CBUS_202305135,T2,3,14:04:00,14:04:00,0
CBUS_202305136,T3,1,13:55:00,13:55:00,0
CBUS_202305136,T1,2,14:03:00,14:03:00,0
CBUS_202305136,T2,3,14:08:00,14:08:00,0
CBUS_202305137,T3,1,13:59:00,13:59:00,0
CBUS_202305137,T1,2,14:07:00,14:07:00,0
CBUS_202305137,T2,3,14:12:00,14:12:00,0
CBUS_202305138,T3,1,14:03:00,14:03:00,0
CBUS_202305138,T1,2,14:11:00,14:11:00,0
CBUS_202305138,T2,3,14:16:00,14:16:00,0
CBUS_202305139,T3,1,14:07:00,14:07:00,0
CBUS_202305139,T1,2,14:15:00,14:15:00,0
CBUS_202305139,T2,3,14:20:00,14:20:00,0
CBUS_202305140,T3,1,14:11:00,14:11:00,0
CBUS_202305140,T1,2,14:19:00,14:19:00,0
CBUS_202305140,T2,3,14:24:00,14:24:00,0
CBUS_202305141,T3,1,14:15:00,14:15:00,0
CBUS_202305141,T1,2,14:23:00,14:23:00,0
CBUS_202305141,T2,3,14:28:00,14:28:00,0
CBUS_202305142,T3,1,14:19:00,14:19:00,0
CBUS_202305142,T1,2,14:27:00,14:27:00,0
CBUS_202305142,T2,3,14:32:00,14:32:00,0
CBUS_202305143,T3,1,14:23:00,14:23:00,0
CBUS_202305143,T1,2,14:31:00,14:31:00,0
CBUS_202305143,T2,3,14:36:00,14:36:00,0
CBUS_202305144,T3,1,14:27:00,14:27:00,0
CBUS_202305144,T1,2,14:35:00,14:35:00,0
CBUS_202305144,T2,3,14:40:00,14:40:00,0
CBUS_202305145,T3,1,14:31:00,14:31:00,0
CBUS_202305145,T1,2,14:39:00,14:39:00,0
CBUS_202305145,T2,3,14:44:00,14:44:00,0
CBUS_202305146,T3,1,14:35:00,14:35:00,0
CBUS_202305146,T1,2,14:43:00,14:43:00,0
CBUS_202305146,T2,3,14:48:00,14:48:00,0
CBUS_202305147,T3,1,14:39:00,14:39:00,0
CBUS_202305147,T1,2,14:47:00,14:47:00,0
CBUS_202305147,T2,3,14:52:00,14:52:00,0
CBUS_202305148,T3,1,14:43:00,14:43:00,0
CBUS_202305148,T1,2,14:51:00,14:51:00,0
CBUS_202305148,T2,3,14:56:00,14:56:00,0
CBUS_202305149,T3,1,14:47:00,14:47:00,0
CBUS_202305149,T1,2,14:55:00,14:55:00,0
CBUS_202305149,T2,3,15:00:00,15:00:00,0
CBUS_202305150,T3,1,14:51:00,14:51:00,0
CBUS_202305150,T1,2,14:59:00,14:59:00,0
CBUS_202305150,T2,3,15:04:00,15:04:00,0
CBUS_202305151,T3,1,14:55:00,14:55:00,0
CBUS_202305151,T1,2,15:03:00,15:03:00,0
CBUS_202305151,T2,3,15:08:00,15:08:00,0
CBUS_202305152,T3,1,14:59:00,14:59:00,0
CBUS_202305152,T1,2,15:07:00,15:07:00,0
CBUS_202305152,T2,3,15:12:00,15:12:00,0
CBUS_202305153,T3,1,15:03:00,15:03:00,0
CBUS_202305153,T1,2,15:11:00,15:11:00,0
CBUS_202305153,T2,3,15:16:00,15:16:00,0
CBUS_202305154,T3,1,15:07:00,15:07:00,0
CBUS_202305154,T1,2,15:15:00,15:15:00,0
CBUS_202305154,T2,3,15:20:00,15:20:00,0
CBUS_202305155,T3,1,15:11:00,15:11:00,0
CBUS_202305155,T1,2,15:19:00,15:19:00,0
CBUS_202305155,T2,3,15:24:00,15:24:00,0
CBUS_202305156,T3,1,15:15:00,15:15:00,0
CBUS_202305156,T1,2,15:23:00,15:23:00,0
CBUS_202305156,T2,3,15:28:00,15:28:00,0
CBUS_202305157,T3,1,15:19:00,15:19:00,0
CBUS_202305157,T1,2,15:27:00,15:27:00,0
CBUS_202305157,T2,3,15:32:00,15:32:00,0
CBUS_202305158,T3,1,15:23:00,15:23:00,0
CBUS_202305158,T1,2,15:31:00,15:31:00,0
CBUS_202305158,T2,3,15:36:00,15:36:00,0
CBUS_202305159,T3,1,15:27:00,15:27:00,0
CBUS_202305159,T1,2,15:35:00,15:35:00,0
CBUS_202305159,T2,3,15:40:00,15:40:00,0
CBUS_202305160,T3,1,15:31:00,15:31:00,0
CBUS_202305160,T1,2,15:39:00,15:39:00,0
CBUS_202305160,T2,3,15:44:00,15:44:00,0
CBUS_202305161,T3,1,15:35:00,15:35:00,0
CBUS_202305161,T1,2,15:43:00,15:43:00,0
CBUS_202305161,T2,3,15:48:00,15:48:00,0
CBUS_202305162,T3,1,15:39:00,15:39:00,0
CBUS_202305162,T1,2,15:47:00,15:47:00,0
CBUS_202305162,T2,3,15:52:00,15:52:00,0
CBUS_202305163,T3,1,15:43:00,15:43:00,0
CBUS_202305163,T1,2,15:51:00,15:51:00,0
CBUS_202305163,T2,3,15:56:00,15:56:00,0
CBUS_202305164,T3,1,15:47:00,15:47:00,0
CBUS_202305164,T1,2,15:55:00,15:55:00,0
CBUS_202305164,T2,3,16:00:00,16:00:00,0
CBUS_202305165,T3,1,15:51:00,15:51:00,0
CBUS_202305165,T1,2,15:59:00,15:59:00,0
CBUS_202305165,T2,3,16:04:00,16:04:00,0
CBUS_202305166,T3,1,15:55:00,15:55:00,0
CBUS_202305166,T1,2,16:03:00,16:03:00,0
